FID,NAME,JURISTYPE,LOCATIONS,VACONCONV_1869_DELEGATE,CD4_1878,CD4_1880,CD4_1882,CD4_1884,CD4_1886,CD4_1888,BBA_1882,BBA_1882_CH,BBA_1882_MEM,BBA_1885,BBA_1885_CH,BBA_1885_MEM,BBA_1886,BBA_1886_CH,BBA_1886_MEM,BBA_1887,BBA_1887_CH,BBA_1887_MEM,BBA_1888,BBA_1888_CH,BBA_1888_MEM,BBA_1889,BBA_1889_CH,BBA_1889_MEM,BCBA_1871_CH,BCBA_1871_MEM,BCBA_1873_CH,BCBA_1873_MEM,BCBA_1880_CH,BCBA_1880_MEM,BCBA_1884_CH,BCBA_1884_MEM,BCBA_1885_CH,BCBA_1885_MEM,BCBA_1886_CH,BCBA_1886_MEM,BCBA_1887_CH,BCBA_1887_MEM,BCBA_1888_CH,BCBA_1888_MEM,BCBA_1889_CH,BCBA_1889_MEM,BCBA_1890_CH,BCBA_1890_MEM,VBSC_1867_CH,VBSC_1867_MEM,VBSC_1868_CH,VBSC_1868_MEM,VBSC_1879_CH,VBSC_1879_MEM,VBSC_1880_CH,VBSC_1880_MEM,VBSC_1881_CH,VBSC_1881_MEM,VBSC_1882_CH,VBSC_1882_MEM,VBSC_1883_CH,VBSC_1883_MEM,VBSC_1884_CH,VBSC_1884_MEM,VBSC_1885_CH,VBSC_1885_MEM,VBSC_1886_CH,VBSC_1886_MEM,VBSC_1887_CH,VBSC_1887_MEM,VBSC_1888_CH,VBSC_1888_MEM,VBSC_1889_CH,VBSC_1889_MEM,VBSC_1890_CH,VBSC_1890_MEM,CSBA_1881_CH,CSBA_1881_MEM,NNBA_1881_CH,IPUMS_ID_Number_Location,CONG_DIST_NUMBER_1880,NUMBER_VOTES_GOVERNOR_DEMOCRAT_1881 _V327,NUMBER_VOTES_GOVERNOR_READJUSTER_1881 _V328,TOT_VOTE_GOV_1881 _V329,PERCENT_VOTES_DEM_1881,PERCENT_VOTES_REP_1881,MC_TOT_CH_1883,MC_B_CH_1883,MC_M_CH_1883,MC_O_CH_1883,MC_NUM_NAMES_1883,MC_NOTES_1883,DELEGATE_VA_HOUSE,DELEGATE_VA_HOUSE_TERM,SUPPORT_REP_1881,SUPPORT_REP_1885,SUPPORT_REP_1877
68,Floyd,County,Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5,622,974,1596,39,61,,,,,,,,,Y,Y,
69,Fluvanna,County,Fluvanna,"Barrett, James D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,189,,650,7,502,796,1298,39,61,,,,,,,,,Y,,
70,Franklin,County,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,5,1588,1555,3143,51,49,15,5,4,7,,,,,,,
71,Frederick,County,Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,8,1478,714,2192,67,33,,,,,,,,,,,
72,Giles,County,Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,9,718,625,1343,53,47,,,,,,,,,,,
73,Gloucester,County,Gloucester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,528,2,680,2,709,1,577,1,619,1,781,1,830,,,,730,1,927,777,1704,54,46,,,,,,,,,,Y,
74,Goochland,County,Goochland,"Mosely, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,172,1,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,7,637,868,1505,42,58,,,,,,,,,Y,Y,
75,Grayson,County,Grayson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,5,626,1361,1987,32,68,,,,,,,,,Y,,
76,Greene,County,Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,310,,,,,,,,,,,,,,,,,,,,,,,1,372,,790,7,398,496,894,45,55,,,,,,,,,Y,,
77,Greensville,County,Greensville,"Jones, Peter",X,X,X,X,,,X,5,2180,X,6,2425,X,6,794,X,7,2395,X,7,2468,X,7,2532,,,,,,,,,,,,,,,,,,,,,,,,,1,750,,,,,,,1,930,2,,1,1196,,,,,,,,,,,,,,810,4,349,853,1202,29,71,6,0,0,6,,,,,Y,Y,
78,Halifax,County,Halifax,"Canada, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90,1,89,4,997,3,1387,8,2582,2,398,,,4,876,2,916,1,375,2,826,,,,830,5,2226,2197,4423,50,50,29,0,0,29,,,,,,,
79,Hanover,County,Hanover,"Toler, Burwell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,200,1,255,1,122,1,240,1,144,1,185,3,368,,850,3,1376,878,2254,61,39,18,11,7,0,,,,,,,
80,Henrico,County,Henrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4084,1,4148,7,9331,7,9022,7,7417,10,10406,7,9311,7,9131,9,10538,6,6135,7,6872,9,9168,9,9308,10,11973,11,9577,,870,3,1249,1538,2787,45,55,3,3,0,0,,,,,Y,Y,
81,Henry,County,Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,5,1005,1125,2130,47,53,4,0,0,4,,,,,Y,,
82,Highland,County,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,7,330,490,820,40,60,,,,,,,,,Y,,
83,Isle Of Wight,County,Isle Of Wight,,,,,,,,X,3,220,X,3,174,X,3,2428,X,3,411,X,3,427,X,3,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,91,1,94,,,,,,,,,,930,2,880,857,1737,51,49,,,,,,,,,,,
84,James City,County,James City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1338,1,1363,,,,,,,,,,,,,,,,,,,,,,950,2,112,375,487,23,77,,,,,,,,,Y,Y,
85,King And Queen,County,King And Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,155,,,,,,,,,,,,,,,,,,,,,,,,,,970,1,362,746,1108,33,67,,,,,,,,,Y,,
86,King George,County,King George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,282,,,,,1,,,,,,,,3,420,,990,1,877,789,1666,53,47,,,,,,,,,,Y,
87,King William,County,King William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,210,2,694,1,258,3,455,,1010,1,726,714,1440,50,50,,,,,,,,,,Y,
88,Lancaster,County,Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,303,,,1,300,1,103,,,,1030,1,447,646,1093,41,59,,,,,,,,,Y,Y,
89,Lee,County,Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,9,642,1215,1857,35,65,,,,,,,,,Y,,
90,Loudoun,County,Loudoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54,1,68,1,58,,,,,,,,,,,,,,1070,8,2221,1323,3544,63,37,,,,,,,,,,,
91,Louisa,County,Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,377,,,,,1,320,1,345,,,,,,,,,,,10,2583,,1090,3,971,984,1955,50,50,16,0,0,16,,,,,Y,,
92,Lunenburg,County,Lunenburg,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,3,340,4,,3,604,2,516,2,541,2,549,2,466,2,464,2,489,2,524,,,,,1,166,2,502,,,2,469,1,301,0,0,,,,,,,,,,,,,,,,1110,4,467,968,1435,33,67,4,0,0,4,,,,,Y,Y,
93,Madison,County,Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,8,637,1088,1725,37,63,,,,,,,,,Y,,
94,Matthews,County,Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1,737,323,1060,70,30,,,,,,,,,,,
95,Mecklenburg,County,Mecklenburg,"Watson, John",,,,,,,,,,,,,,,,,,,,,,,,,7,1276,11,,17,3211,25,4014,25,4131,5,4211,24,4771,24,4218,23,3843,25,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,4,687,2248,2935,23,77,,,,,,,"HAMILTON, ROSS",1869,Y,Y,
96,Middlesex,County,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,425,1,380,1,422,1,382,2,437,3,448,2,400,2,417,,,,1190,1,436,568,1004,43,57,,,,,,,,,Y,Y,
97,Montgomery,County,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,9,1016,1105,2121,48,52,,,,,,,,,Y,Y,
98,Nansemond,County,Nansemond,,,,,,,,,,,,,,,,,,,,X,7,1676,X,7,1605,,,,,,,,,,,,,,,,,,,,,3,944,3,1094,5,1289,5,1381,3,930,2,580,5,1437,2,645,5,1510,3,1018,5,1842,1,480,4,1445,2,583,1,408,,1230,2,598,1591,2189,27,73,,,,,,,,,Y,Y,
99,Nelson,County,Nelson,,,,,,,,X,6,1230,X,6,1099,X,6,1566,X,7,1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,6,1231,1094,2325,53,47,0,0,0,0,11,"Only names of individuals were reported, not churches.",,,,,
100,New Kent,County,New Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,604,,1270,2,228,553,781,29,71,,,,,,,,,Y,Y,
101,Norfolk,County,Norfolk,"Teamoh, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,621,1,650,6,4115,5,3725,6,4272,4,3711,6,4214,7,5160,9,5330,7,3549,7,4198,8,5469,9,5705,8,4271,4,2358,,1290,2,1032,2209,3241,32,68,,,,,,,"PAIGE, G. L.",1871,Y,Y,
102,Northampton,County,Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,694,2,728,2,746,2,635,2,589,3,791,,,,,,,,,,,,,,,,1310,1,760,930,1690,45,55,,,,,,,,,Y,Y,
103,Northumberland,County,Northumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1330,1,657,644,1301,50,50,,,,,,,,,,,
104,Nottoway,County,Nottoway,,,,,,,,,,,,,,,,,,,,X,6,1726,X,6,1884,,,,,,,,,,,,,,,,,,,,,,,,,2,2488,2,846,6,2200,1,,3,1066,4,1283,5,2107,1,312,1,138,1,,,,,,,,,1350,4,152,1348,1500,10,90,10,1,0,9,,M. Watson provided information with no pastors' names.  Someone else  reported no data.,,,Y,Y,
105,Orange,County,Orange,"Poor, F. W.",,,,,,,X,6,1664,X,6,1696,X,6,1666,X,6,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,487,,,,,,,,,1,488,1,486,,,,,,,,,,,,,,1370,8,1000,654,1654,60,40,,,,,,,,,,,
106,Page,County,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,7,526,783,1309,40,60,,,,,,,,,Y,Y,
107,Patrick,County,Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,5,617,952,1569,39,61,,,,,,,"AKERS, WILLIAM T.",1877,Y,,
108,Pittsylvania,County,Pittsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,282,2,437,3,1874,5,1861,2,1350,2,882,2,1417,2,1557,3,1653,3,1740,3,464,,4,2,2150,3,2519,,,,1430,5,3274,2888,6162,53,47,20,0,0,20,,,,,,,
109,Powhatan,County,Powhatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,340,,,1,340,,,,,,,1,320,,1450,4,285,805,1090,26,74,,,,,,,"NEVERSON, LEWIS",1879,Y,Y,
110,Prince Edward,County,Prince Edward,"Bland, James W. B.",,,,,,,,,,,,,,,,,,,X,1,21,X,1,21,,,,,,,2,421,2,476,2,471,2,533,2,524,2,522,2,676,,,,,,,1,366,1,,,,1,520,,,,,1,365,1,445,1,540,2,,2,751,,,,1470,4,590,1562,2152,27,73,,,,,,,,,Y,Y,
111,Prince George,County,Prince George,,X,X,,X,X,X,X,1,527,X,2,491,X,1,6,X,1,6,X,8,1264,X,8,1162,,,,,,,,,,,,,,,,,,,,,,,,,4,744,1,195,4,854,1,,3,667,1,396,1,268,1,146,2,716,,,1,376,1,-,4,578,,1490,2,430,845,1275,34,66,,,,,,,"BLAND, EDWARD D.",1879,Y,Y,
112,Prince William,County,Prince William,,,,,,,,X,7,772,X,8,1008,X,8,1454,X,8,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,2,88,1,60,2,262,1,64,,,,1530,1,891,396,1287,69,31,,,,,,,,,,,
113,Princess Anne,County,Princess Anne,"Hodges, Willis A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,199,,,,,1,236,1,225,1,326,1,236,1,264,1,300,1,290,1,162,2,336,,,,1510,2,595,842,1437,41,59,,,,,,,"OWENS, LITTLETON",1879,Y,,
114,Pulaski,County,Pulaski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,9,782,592,1374,57,43,,,,,,,,,,,
115,Rappahannock,County,Rappahannock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,8,968,452,1420,68,32,,,,,,,,,,,
116,Richmond,County,Richmond,"Lewis, Lindsay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,,,,,,,,,7,1590,1,430,698,1128,38,62,6,1,0,5,,,,,Y,Y,
117,Roanoke,County,Roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,,,,,,,1,-,,,,1610,9,698,1254,1952,36,64,3,1,2,0,,,,,Y,Y,
118,Rockbridge,County,Rockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,370,3,947,3,300,3,1161,4,1222,3,1019,3,1142,5,1569,3,1286,3,951,4,1093,5,1122,,,,1630,6,1632,1573,3205,51,49,3,1,2,0,,,,,,,
119,Rockingham,County,Rockingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,7,2127,2623,4750,45,55,,,,,,,,,Y,Y,
120,Russell,County,Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,9,346,1087,1433,24,76,,,,,,,,,Y,Y,
121,Scott,County,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,9,343,1354,1697,20,80,,,,,,,,,Y,Y,
122,Shenandoah,County,Shenandoah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,7,1499,1888,3387,44,56,,,,,,,,,Y,,
123,Smyth,County,Smyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,9,693,1138,1831,38,62,,,,,,,,,Y,,
124,Southampton,County,Southampton,"Brown, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,94,1,181,3,1333,4,1403,4,1592,4,1776,1,303,4,1654,5,2062,4,1131,3,763,4,748,4,1840,2,571,,,,1750,2,1034,1563,2597,40,60,,,,,,,,,Y,,
125,Spotsylvania,County,Spotsylvania,,,,,,,,X,12,2501,X,13,2872,X,13,3005,X,14,3330,X,14,3369,X,15,3897,,,,,,,,,,,,,,,,,,,,,,,,,3,874,2,852,2,612,2,647,1,485,1,537,1,534,1,678,,,1,571,1,573,2,793,2,665,,1770,1,535,780,1315,41,59,,,,,,,,,Y,,
126,Stafford,County,Stafford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,,,,,,,,,,,,,,,,,,,,,,,,1790,1,649,810,1459,44,56,,,,,,,,,Y,Y,
127,Surry,County,Surry,"Andrews, William H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,220,,,,,,,,,,,,,,,,,,,,,,,,1810,2,581,361,942,62,38,7,0,0,7,,,,,,Y,
128,Sussex,County,Sussex,,,,,,,,,,,,,,,,,,,,X,1,205,X,1,192,,,,,,,,,,,,,,,,,,,,,,,,,3,613,4,908,3,536,1,355,2,808,3,781,3,1172,2,,,,1,425,1,325,1,410,,,,1830,2,620,927,1547,40,60,,,,,,,,,Y,Y,
129,Tazewell,County,Tazewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,9,634,1389,2023,31,69,,,,,,,,,Y,Y,
130,Warren,County,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,8,909,262,1171,78,22,,,,,,,,,,,
131,Warwick,County,Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,2,85,221,306,28,72,,,,,,,,,Y,Y,
132,Washington,County,Washington,,,,,,,,X,4,1110,X,5,1390,X,5,1473,X,5,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,300,1,102,2,363,,,,,,,,,,,,,,,,,,,,1910,9,1498,2258,3756,40,60,,,,,,,,,Y,,
133,Westmoreland,County,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1930,1,503,762,1265,40,60,6,0,6,,,,,,Y,Y,
134,Wise,County,Wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,9,186,744,930,20,80,-,-,-,-,,I did not record information from this county,,,Y,,
135,Wythe,County,Wythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48,,,,,,,,,,1970,9,1240,1401,2641,47,53,,,,,,,,,Y,,
136,York,County,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,2,292,492,784,37,63,,,,,,,,,Y,Y,
